stage,pyspark_duration_s,sklearn_duration_s,speedup_sklearn_vs_pyspark,pyspark_accuracy,sklearn_accuracy,pyspark_f1,sklearn_f1
train,7.906048042998009,0.4788046210014727,16.512054596427323,0.974263286578304,0.9750353879809548,0.9742410790055618,0.9750649692171811
validation,1.3946486450004159,0.00982078499509953,142.00989490110322,0.8571428571428571,0.8571428571428571,0.9142857142857144,0.9142857142857144
test,1.4235560529996292,0.01204899399454007,118.14729542107044,0.9382398353062275,0.932578486875965,0.9380255015902156,0.9325571410505312
TOTAL (train+val+test),10.724252740998054,0.5006743999911123,21.419614706061314,,,,
